Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,102.99680715197957,36,5,52,3,1910,410
2,113.7015317286652,54,4,68,5,1910,1310
3,106.54094525035096,36,6,35,6,1510,1010
4,105.54523424878836,45,3,50,6,510,810
5,102.73251533742331,38,7,37,6,110,710
6,103.98327759197325,58,3,32,4,210,110
7,109.07780458383594,41,6,40,7,1410,510
8,109.88922155688623,53,3,56,5,210,1310
9,417.81982840800765,70,4,38,4,1710,110
10,117.54176964903608,67,5,70,7,1310,910
11,105.02926829268293,70,6,66,3,10,410
12,121.68570183086312,43,5,34,4,1410,1410
13,97.68763796909492,66,3,34,4,110,810
14,172.78679245283018,55,4,33,6,1110,2110
15,109.98170075349839,70,3,55,5,710,1610
16,101.99265951439864,30,3,36,5,610,2210
17,109.32165948275862,35,3,55,7,710,1810
18,108.77072538860104,48,3,44,6,1610,2010
19,113.56729131175469,68,5,61,7,10,2010
20,107.50901378579003,36,7,43,7,810,1110
21,101.06479113384484,41,4,37,6,410,810
22,109.53382352941176,48,3,41,4,1910,210
23,101.1766862170088,34,3,51,6,1310,210
24,102.22084805653711,47,6,62,6,410,210
25,110.59982862039418,64,4,56,6,10,1710
26,108.59088182363527,52,3,50,7,510,1510
27,114.07605495583906,58,7,70,3,1410,910
28,107.8875,39,3,59,3,1410,1310
29,111.88876013904982,57,7,59,5,910,910
30,110.36572438162544,48,3,51,7,1210,2010
31,111.30765503875969,56,7,51,5,910,2110
32,218.41971309578898,31,6,67,6,1510,1710
33,106.47983014861995,61,6,57,5,510,510
34,111.73084384093113,64,6,45,5,910,2310
35,116.15384615384616,70,6,61,4,1010,110
36,216.8336422613531,64,7,40,3,1610,1610
37,104.4026402640264,67,3,53,4,310,310
38,105.79181034482758,32,6,39,5,1610,2410
39,108.51234567901234,68,7,52,6,410,110
40,105.9714889123548,41,7,37,4,1010,910
41,109.0643153526971,32,7,58,6,310,710
42,96.90864600326265,33,5,50,4,610,10
