Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,115.59400179051029,64,3,68,5,1110,1310
2,111.31912734652461,50,4,66,3,810,1810
3,108.1705770450222,48,3,53,4,410,1910
4,100.45564516129032,52,4,44,7,210,310
5,102.373232799246,35,3,36,4,1110,10
6,107.79861111111111,35,6,49,7,110,610
7,107.18076923076923,68,6,53,6,210,910
8,108.17940414507773,57,4,51,6,410,1210
9,106.49612831858407,43,7,45,3,810,1110
10,115.38132911392405,58,4,48,7,1210,810
11,232.55953200275292,31,6,63,5,410,1210
12,105.2,35,5,44,7,310,810
13,110.68877805486284,42,7,38,6,1210,910
14,350.37975646879755,69,7,39,4,1410,410
15,102.59592096876992,46,5,30,3,810,810
16,112.17518248175182,54,7,58,5,1410,810
17,109.69529564091498,45,7,43,4,1410,1310
18,111.05042016806723,69,5,59,4,710,410
19,106.86163522012579,57,5,54,5,10,810
20,106.52167261601224,32,3,45,7,810,1610
21,99.17795637198623,35,4,34,6,210,710
22,154.8266228430567,60,6,46,5,1210,110
23,109.53819444444444,49,6,46,3,1310,1410
24,102.61207970112079,37,3,38,6,810,810
25,113.88925294888598,70,5,69,3,410,1510
26,104.9992700729927,67,3,44,7,210,1210
27,109.88108356290175,51,3,57,4,1110,1610
28,205.29780033840947,54,6,36,4,1410,810
29,100.88818297331639,70,6,35,6,210,610
30,108.14652406417112,39,6,45,7,1310,710
31,101.02138643067846,34,5,63,4,1310,210
32,109.75901545506582,64,3,60,3,610,1710
33,100.61607142857143,33,6,35,5,10,710
34,108.76377597109304,42,6,50,5,1110,1310
35,106.82681205901218,55,4,52,3,410,1610
36,105.97619047619048,63,7,62,4,10,410
37,268.53614144565785,70,4,40,6,1310,1010
38,107.38073394495413,41,7,47,4,610,1910
39,114.18012081274026,69,3,67,4,1210,710
40,112.81085395051875,59,7,60,5,110,1510
41,112.40813464235625,34,4,55,5,10,710
42,97.88888888888889,42,5,38,3,210,310
43,103.9137451307735,39,3,41,4,1210,710
44,104.04545454545455,50,4,50,3,110,810
45,111.09794520547945,63,3,66,4,1110,410
46,108.71617647058824,70,4,56,5,210,1510
47,104.59399773499433,41,5,38,7,610,1910
48,110.64188481675393,65,4,51,7,810,1810
49,104.67887931034483,43,6,33,7,710,1510
50,103.72294776119404,50,5,38,7,610,510
51,117.24419334588826,69,3,45,7,1010,710
52,102.6331096196868,32,3,43,6,210,710
53,111.78826530612245,55,6,61,6,10,810
54,101.9438775510204,52,6,51,5,310,110
55,103.36698911729141,51,3,40,5,510,1510
56,101.8845921450151,36,7,30,6,610,1110
57,108.10576923076923,62,3,58,4,810,510
58,106.46482683982684,34,5,59,6,1110,810
59,116.80740393626992,64,5,67,6,1010,1510
60,105.8574091332712,52,3,53,4,1010,110
61,108.68992248062015,70,6,44,7,510,1910
62,106.54078303425774,34,7,58,7,710,610
63,194.7427635172037,48,6,33,3,1110,810
64,115.23048836147878,66,4,58,6,1410,1110
65,116.67739092111061,36,4,68,3,1110,1510
66,107.10386965376782,38,3,67,3,1210,910
67,103.49006622516556,35,4,53,7,1110,510
68,107.6350626118068,44,5,68,6,1110,610
69,105.19389587073609,68,3,65,4,510,110
70,104.11572498298162,51,5,43,3,310,1210
71,120.51118760757315,42,5,64,6,10,1810
72,111.02402402402403,47,7,70,7,710,710
73,109.71428571428571,59,7,63,7,310,10
74,116.66666666666667,61,5,70,6,1110,1310
75,117.88138528138528,60,7,68,7,1410,1310
76,106.76460406750324,36,6,40,5,1210,1510
77,103.03187919463087,49,5,35,3,710,1110
78,123.72461273666093,38,5,64,5,10,1910
79,111.49277357192017,31,4,49,6,310,1610
80,109.99628770301624,48,6,42,5,1410,1010
81,281.643,66,7,33,6,1210,1910
82,102.85768936495792,65,5,39,5,210,1110
83,107.86444444444444,49,5,56,4,110,810
84,116.15549076773567,69,5,70,4,1410,910
85,111.05454545454545,36,3,62,6,1010,1610
86,266.3119310014375,66,5,36,4,1410,1510
87,106.37203166226912,41,3,37,4,1210,10
88,109.88745980707395,59,7,35,4,910,1010
89,103.49039692701665,54,5,31,5,510,310
90,151.17626784835056,70,3,43,3,1110,1010
91,102.75,42,6,66,4,10,10
92,97.54826254826254,43,3,32,5,110,710
93,144.02688408990744,60,7,46,6,1210,1610
94,108.9576359832636,50,4,50,3,1410,810
95,115.19801553062986,37,6,64,6,1310,1410
96,101.5063113604488,42,6,44,6,510,210
97,106.75255623721881,44,7,50,7,310,710
98,116.98303571428572,56,5,52,7,1110,10
99,104.69662309368192,39,3,38,6,1310,710
100,158.16289391921882,35,6,66,7,1410,1610
101,103.72116863147104,42,3,41,3,1410,810
102,114.8744313011829,30,6,51,5,1110,1210
103,105.11678321678322,38,7,49,4,1410,310
104,130.53846153846155,30,4,61,4,610,1110
105,166.3939929328622,31,4,57,7,10,1310
106,105.87719298245614,32,4,49,6,310,810
107,114.8378787878788,39,4,69,5,410,910
108,110.51239669421487,49,4,40,3,1410,310
109,113.84334975369458,43,5,57,7,110,1010
110,115.6031357177854,49,7,40,6,1110,1010
111,112.82525366403608,64,7,55,3,810,110
112,99.57993730407523,31,4,61,7,1310,110
113,108.36127017178553,60,4,40,3,1010,1010
114,104.31932773109244,61,3,65,3,10,110
115,104.97003745318352,53,4,54,6,410,710
116,111.09369024856596,52,7,56,7,510,1110
117,99.7886524822695,33,6,41,6,310,410
118,112.27740492170022,59,6,59,6,210,1210
119,102.66246056782335,41,5,56,3,1010,310
120,108.86,45,4,56,5,810,1510
121,99.48223350253807,45,7,31,4,310,510
122,109.97953964194373,68,6,59,3,410,1910
123,122.88613861386139,67,4,51,4,1310,510
124,101.79046836483155,42,3,38,5,710,510
125,101.19412724306689,68,7,36,7,210,410
126,121.40862068965517,54,7,39,7,1010,810
127,111.4869451697128,43,7,50,7,1210,1210
128,116.25255972696246,30,7,49,3,10,1410
129,100.09256661991584,48,5,40,4,210,510
130,112.0729658792651,56,7,62,3,810,1410
131,101.3719806763285,38,5,69,6,1110,10
132,104.4405646359584,41,6,41,3,1110,310
133,122.86100746268657,67,3,51,5,1110,10
134,115.9517060367454,66,7,35,7,810,1110
135,103.31413043478261,37,5,44,7,210,710
136,109.35177595628416,63,4,58,3,310,1910
137,102.55263157894737,53,4,40,4,510,1110
138,104.1952380952381,33,3,56,4,110,310
139,116.74338235294118,65,4,56,3,1410,210
140,109.88489916379734,58,5,58,3,910,1810
141,101.60246913580247,32,6,51,4,110,310
142,111.94706559263521,64,7,52,5,910,910
143,95.27731092436974,33,5,32,4,10,110
144,105.3207869974337,63,5,48,3,110,1110
145,112.55693950177935,69,7,65,3,210,1010
146,113.74132492113564,54,6,56,7,110,1510
147,100.61244019138756,50,7,44,6,110,110
148,101.90034602076125,31,7,44,4,1410,310
149,113.82864077669903,50,6,67,6,1010,1110
150,112.73064516129033,59,7,56,7,710,1810
151,123.82587287376903,40,5,32,4,1410,1110
152,99.90666666666667,33,3,56,5,910,310
153,115.46378091872792,64,3,51,7,1110,1410
154,110.48014226437463,66,4,51,3,1010,710
155,104.80963855421686,38,7,41,3,710,1010
156,109.36575422248107,60,4,57,6,910,910
157,113.56407900780891,48,7,60,5,1110,1310
158,100.92608326253186,34,6,43,5,610,610
159,105.18703241895261,38,3,46,6,110,710
160,100.3607342378292,34,3,34,6,510,810
161,112.82261029411765,38,6,66,5,310,810
162,110.68442622950819,33,7,62,5,810,1010
163,106.15819209039547,54,7,53,5,110,610
164,97.99493670886076,41,4,40,3,310,110
165,114.79343434343434,58,6,66,7,1110,910
166,97.59305555555555,32,3,36,5,410,310
167,104.16267942583733,63,6,41,6,110,1510
168,101.4224569205114,33,3,41,4,1210,710
169,118.0267085624509,37,3,64,4,110,1810
170,103.08748906386701,70,7,41,7,110,1110
171,103.82364341085271,44,6,46,7,10,510
172,109.13389121338912,41,3,57,6,910,1110
173,106.9372197309417,33,3,57,6,910,910
174,138.9599786552828,44,3,30,6,1210,910
175,101.99844720496894,44,6,32,6,310,1010
176,113.24623603691113,54,6,60,5,910,1310
177,95.8280487804878,70,6,30,7,10,810
178,187.51476601544752,55,5,37,5,1410,1610
179,111.07087378640777,56,5,40,6,910,210
180,106.73552425665102,64,5,42,3,810,1510
181,115.8485254691689,69,7,55,7,910,610
182,105.86780104712042,54,5,63,7,510,310
183,111.6176291793313,51,5,61,4,510,1710
184,100.28530259365995,56,4,35,3,310,410
185,99.14520202020202,61,4,37,5,210,610
186,97.74833333333333,70,6,38,3,110,510
187,106.7457800511509,49,6,30,6,810,1410
188,107.52951699463327,37,4,49,6,210,910
189,110.725,68,3,34,4,410,110
190,116.54772581678411,47,3,68,7,410,1810
191,96.9274193548387,60,3,36,5,10,610
192,108.79400113186192,34,6,47,7,610,1210
193,104.47054698457222,42,3,53,4,610,910
194,103.71228771228772,40,7,41,7,510,510
195,103.43945912722803,32,7,34,5,510,1510
196,103.40298507462687,48,4,55,4,810,10
197,99.14585232452143,48,3,33,4,410,810
198,103.99658002735978,54,4,40,5,310,1310
199,293.1412289395441,65,6,32,3,1410,1910
200,104.11892361111111,49,6,33,6,610,610
201,110.5579014715291,55,6,62,4,1410,410
202,225.24221789883268,64,3,37,3,1410,1110
203,101.55970924195223,37,5,32,5,810,210
204,105.39351851851852,40,4,42,5,410,1110
205,107.92718446601941,31,3,54,6,10,410
206,115.61723930078361,34,3,62,5,510,1910
207,105.89534141671984,39,5,46,4,410,1610
208,108.3102310231023,52,7,39,6,310,10
209,106.04835164835166,43,3,45,3,1110,1810
210,116.06905481225724,53,5,65,7,1410,1610
211,115.02440087145969,37,5,30,3,1310,1310
212,110.60406091370558,47,5,67,5,10,210
213,103.72692307692307,57,4,66,5,410,110
214,110.21953010279002,62,7,65,3,510,910
215,117.65191489361702,61,5,54,4,1410,10
216,158.4824120603015,32,3,63,4,710,1710
217,105.70155662909286,62,6,33,5,710,1610
218,101.39516129032258,42,3,37,4,610,810
219,109.10539979231568,33,5,65,4,1010,1010
220,111.44802867383513,43,5,51,5,10,1110
221,112.96589940323956,55,3,59,6,10,1710
222,110.59928716904277,45,7,50,6,1210,810
223,103.20580700256191,45,3,68,4,1310,10
224,100.11527377521614,43,4,39,5,510,210
225,104.54677754677755,58,3,65,4,610,410
226,103.94710640945861,30,7,65,5,1110,610
227,103.53846153846153,63,6,43,4,310,810
228,110.511071744907,61,6,57,3,10,1210
229,113.79438822447102,65,4,48,6,1010,1710
230,98.90298507462687,30,5,68,4,610,210
231,285.7653806047967,64,5,36,7,1310,1010
232,110.06389157792836,58,4,36,5,1010,1310
233,100.75353535353536,35,7,46,6,310,210
234,99.21983089930822,67,4,33,4,210,1110
235,122.28132387706856,62,4,47,4,1410,1010
236,108.54456054087277,30,4,50,4,510,1910
237,101.5,42,5,46,4,10,10
238,105.86266771902132,62,7,44,6,110,1810
239,106.4515393386545,30,6,58,4,310,610
240,115.93243243243244,43,4,69,7,310,910
241,98.34239130434783,69,3,34,4,210,710
242,110.83001808318264,58,3,51,6,1110,610
243,116.30429128738622,58,6,70,4,1410,1310
244,110.22765363128492,44,6,67,7,810,710
245,101.86402486402487,37,4,40,4,1110,210
246,120.25964593735814,57,7,40,4,1110,1210
247,104.61076604554866,67,7,40,3,310,1410
248,108.03631647211414,61,3,59,3,510,1110
249,100.66904761904762,55,3,50,3,110,310
250,112.20477815699658,42,7,63,5,110,510
251,110.16474543707973,38,5,50,7,1010,1810
252,124.16634799235182,30,6,62,6,110,1010
253,108.41410488245931,35,6,49,4,510,1310
254,101.87041773231032,38,5,32,6,10,1210
255,109.4,50,4,52,5,1210,1010
256,99.77257142857142,33,4,45,4,510,410
257,109.30591259640103,65,5,57,3,710,910
258,102.64883574575205,40,5,36,6,610,1010
259,115.17028627838104,68,4,69,6,910,1810
260,112.17483146067416,54,6,50,6,1110,1710
261,97.42857142857143,32,6,63,6,610,110
262,238.13260073260074,68,7,47,6,1310,310
263,109.06175438596492,49,5,52,6,410,1110
264,110.23853211009174,30,7,56,4,410,910
265,104.65503875968992,43,5,33,7,710,110
266,114.00959409594095,62,5,61,7,210,1410
267,104.87470449172577,38,6,38,3,110,1310
268,108.76426982950333,50,7,46,6,210,1810
269,105.79017586416009,59,4,42,6,510,1710
270,115.10109717868339,63,4,66,6,1210,110
271,100.85384615384615,51,6,63,4,510,10
272,110.48196721311476,54,6,66,6,110,510
273,102.97100175746924,42,3,44,5,410,810
274,108.51995438996579,32,3,48,7,610,1510
275,100.53751030502886,38,7,32,3,510,710
276,110.9814371257485,69,5,55,6,510,1310
277,208.65294667913938,58,7,39,5,1410,1210
278,124.7638279192274,39,6,33,6,1210,1810
279,109.58886971527178,37,4,58,5,1310,1910
280,98.0377358490566,68,3,33,7,110,410
281,113.96732522796353,59,5,60,7,1310,210
282,103.14042126379137,43,6,38,4,10,1010
283,101.96715741789355,50,4,43,4,10,910
284,107.53339834227206,49,4,32,7,910,1810
285,112.99956159579132,42,7,56,7,1210,1610
286,113.94067796610169,63,7,63,3,10,1710
287,108.61904761904762,43,4,69,4,110,310
288,106.11958266452649,39,6,39,6,110,1410
289,107.05035971223022,37,3,53,7,110,610
290,108.61395348837209,58,5,55,4,710,1010
291,109.5945652173913,70,6,70,3,310,610
292,136.5091264667536,69,5,52,7,1210,410
293,106.1740638002774,67,3,47,7,310,1710
294,107.9579045837231,68,3,42,4,710,410
295,108.6830453563715,57,3,58,4,710,1410
296,109.46747352496217,57,4,44,3,1010,410
297,110.19860896445131,49,5,64,7,510,810
298,105.11522633744856,68,7,41,4,310,1210
299,114.0021978021978,68,7,67,3,910,910
300,104.58823529411765,47,7,62,5,610,210
301,103.67146974063401,40,5,46,5,210,510
302,106.15689865689866,34,6,51,6,910,810
303,111.95036144578313,59,4,49,7,910,1510
304,292.58264462809916,60,4,32,5,1210,810
305,101.76011773362767,40,3,34,5,210,1510
306,105.1323155216285,48,6,60,3,310,510
307,108.54963898916968,33,4,58,3,1110,1810
308,100.94455852156058,43,4,34,4,610,410
309,111.73636363636363,64,5,62,6,610,1010
310,101.14807692307693,34,4,43,5,110,410
311,124.68491921005386,55,3,41,3,1110,10
312,108.60982083609821,67,7,51,5,410,1710
313,112.75383094414236,48,3,70,4,910,1510
314,100.22990126939351,36,6,35,5,610,110
315,108.53398058252426,42,6,40,5,1210,10
316,101.11694510739856,49,4,46,6,310,610
317,112.2282491944146,51,5,60,7,710,1310
318,111.34332619557459,48,3,61,6,310,1110
319,103.93948562783662,56,4,43,7,310,410
320,109.21008984105045,61,7,47,7,310,1310
321,98.47826086956522,43,5,46,3,110,110
322,157.58133150308853,58,5,31,6,910,610
323,108.4478672985782,66,3,34,4,610,310
324,111.16821515892421,53,6,54,4,1110,1010
325,112.86274509803921,54,3,62,7,710,1410
326,107.52865144334339,37,5,46,5,1210,1910
327,105.00146341463415,50,3,36,4,910,1410
328,110.93777009507346,47,5,58,4,1410,1510
329,114.49406620861961,51,7,62,7,510,1610
330,110.62563359884142,56,5,58,6,310,1110
331,103.2914979757085,30,7,31,7,910,610
332,115.80726420620972,65,6,51,7,1010,810
333,100.4171511627907,37,7,52,7,610,110
334,108.56194919647486,33,7,69,3,1310,810
335,141.07802013422818,61,5,45,6,1110,110
336,129.49846288976724,41,5,32,4,1210,1310
337,108.23832528180354,63,5,55,5,210,1110
338,112.4105534105534,58,5,50,3,1310,410
339,475.99278350515465,70,7,36,6,1210,110
340,273.176326129666,70,5,34,3,1210,1210
341,101.30686936936937,57,3,30,3,610,1910
342,107.37309417040359,45,6,58,6,1110,10
343,102.58971553610503,64,5,40,6,310,610
344,109.29736618521665,63,4,57,3,10,1410
345,105.70542635658914,32,5,37,6,1410,1710
346,138.2505504183179,58,6,46,7,1310,1510
347,108.38494623655914,47,3,51,7,1110,310
348,109.80858960763521,40,6,51,7,810,1510
349,112.63774403470715,55,5,48,6,1310,1910
350,105.27684964200478,41,3,68,4,1210,510
351,107.47412008281573,46,3,46,5,1410,810
352,107.86356466876971,55,4,47,7,110,1710
353,110.81863149216818,52,7,45,4,1110,210
354,112.96151603498542,48,5,68,3,610,1410
355,109.42376052385407,58,4,41,5,1010,1610
356,110.05043961129107,46,5,53,6,1010,1910
357,108.2225405921681,53,5,35,7,810,310
358,104.1535682023487,32,3,40,4,110,1010
359,107.97729618163055,58,6,59,7,810,210
360,101.94364229156963,31,5,30,4,1010,1510
361,108.51697127937337,58,6,51,5,10,1210
362,101.63387978142076,36,5,54,5,1010,110
363,99.91261061946902,40,5,36,4,310,610
364,325.4209523809524,65,7,34,4,1410,710
365,101.78598629093679,32,4,47,7,1110,310
366,105.94378074490513,46,4,54,3,1410,310
367,109.63208852005532,35,7,56,3,1110,1510
