Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,108.49076664801343,44,3,55,6,650,1240
2,106.73388203017832,40,4,57,7,230,500
3,114.90185387131952,41,4,68,7,700,1310
4,106.5006435006435,53,3,49,4,410,1590
5,116.25506756756756,67,4,54,6,1350,710
6,110.25679758308156,46,5,50,5,1470,1920
7,104.10050568900127,62,5,36,6,430,1770
8,103.1413543721236,30,6,66,5,1080,520
9,120.73223066607063,68,7,70,7,1420,1090
10,114.75012370113805,38,7,66,3,870,1570
11,113.0105421686747,53,7,55,7,1140,220
12,110.26895002807412,37,4,56,5,640,1710
13,110.60286103542235,54,6,68,3,580,990
14,114.10134656272147,63,3,70,4,260,1400
15,115.64200792602378,57,5,69,6,360,1960
16,105.35455607476635,65,4,43,4,610,1160
17,107.32984293193718,62,5,66,3,40,390
18,100.26660250240616,67,3,36,3,310,770
19,112.02427394885132,46,6,60,5,1440,1340
20,196.3702690378477,65,3,43,7,1300,1740
21,111.29679376083189,49,6,43,6,1390,1270
22,102.06706857573474,56,4,38,6,160,1980
23,103.56376929325751,41,6,44,6,730,510
24,136.16164747564216,51,5,40,7,1250,1540
25,117.4816656308266,40,5,68,6,480,1270
26,413.1777566539924,58,6,33,5,1230,130
27,118.93151969981238,31,6,61,7,1160,1110
28,106.68279569892474,61,7,69,5,690,80
29,106.17909238249595,35,5,59,6,570,700
30,104.24718397997496,33,7,54,5,1000,660
31,442.12487611496533,59,6,33,6,1290,110
32,98.025,37,5,37,3,70,470
33,110.33252427184466,65,7,33,7,700,970
34,109.92124352331606,46,7,56,6,1220,790
35,106.3843137254902,49,7,61,5,910,400
36,98.57752808988764,40,3,31,7,180,710
37,107.3713200379867,58,7,34,3,670,400
38,109.79387186629526,38,4,54,6,990,1840
39,107.01309523809523,56,7,66,3,750,100
40,125.07280701754387,58,3,44,7,1200,1430
41,104.02822085889571,62,6,52,6,240,590
42,103.9020618556701,38,3,37,6,10,1900
43,110.00768122899665,49,3,63,5,1120,1050
44,102.77376760563381,32,6,48,6,650,520
45,110.96632124352331,39,4,50,4,10,1350
46,104.76806833114323,65,7,36,3,550,1060
47,176.8626550298576,56,4,35,3,1150,1240
48,104.33605376860298,31,3,47,6,1490,930
49,108.90993265993266,63,5,59,4,210,1030
50,109.03440538519072,46,6,36,7,930,420
51,118.7935855263158,32,3,58,3,70,1920
52,100.00215749730313,35,3,50,3,540,440
53,103.066269545793,56,4,36,6,550,850
54,119.26239669421487,66,5,47,6,890,120
55,115.0439061317184,48,4,63,5,190,1470
56,120.36911643270025,62,5,51,6,1180,100
57,116.20984848484848,60,5,63,7,1100,250
58,100.06033057851239,46,6,31,4,110,1130
59,105.80786026200873,67,4,47,5,210,1460
60,112.42922374429224,61,7,69,7,230,940
61,113.1734693877551,61,6,67,3,480,1260
62,99.22745098039216,46,5,34,7,60,220
63,111.4732528041415,48,4,51,7,1490,1580
64,108.18155825589707,60,3,54,5,250,1890
65,104.9828785446763,47,4,39,3,970,950
66,104.57910447761193,49,5,45,7,360,680
67,103.84259927797834,34,6,47,5,1170,240
68,214.5130765572991,62,4,34,3,1160,1890
69,139.49017933390266,60,5,44,4,1210,80
70,113.78337874659401,50,7,64,5,1110,1760
71,142.40471698113208,51,3,31,7,1060,1450
72,107.45328719723183,67,6,65,4,340,530
73,180.91162343900095,68,6,37,4,1050,1550
74,104.73958333333333,33,4,56,6,680,580
75,106.53918495297806,53,3,63,7,40,310
76,106.48311218335344,59,5,49,3,530,1450
77,97.50259965337955,41,4,37,4,330,260
78,104.56509433962265,42,6,48,6,980,140
79,122.0370741482966,65,7,38,4,920,170
80,100.70178739416745,34,5,36,7,730,400
81,108.75991189427313,33,7,43,4,220,1410
82,108.03373493975904,70,3,47,4,400,20
83,108.01301832208293,42,4,47,6,960,1230
84,115.95517241379311,70,7,51,5,1030,1120
85,113.74923547400611,32,7,53,6,1150,1600
86,108.84806810740012,53,3,52,7,360,1270
87,331.5880062305296,64,6,38,6,1410,340
88,120.62392494136044,68,5,58,5,1410,140
89,115.98046092184369,63,7,67,5,910,1430
90,112.9404973357016,50,6,57,6,1190,1280
91,106.07331571994716,30,7,42,3,420,1120
92,105.66822703335284,53,3,40,7,570,1430
93,114.75164257555848,33,3,62,3,1160,1910
94,105.63673890608875,63,6,51,6,190,810
95,102.14207650273224,67,6,30,6,270,300
96,107.6693951796271,51,3,50,3,1060,1870
97,111.68007096392667,60,7,53,7,550,1910
98,107.62420382165605,70,7,48,6,250,1540
99,110.8682212581345,61,6,53,5,850,1090
100,106.12315851502652,51,3,54,3,860,870
