Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s)
1,39.18807540552389,37.57648345592838,3.9138383151784275,24.983426348770422,4.749122667417379
2,39.162334701322386,45.43664272875808,2.396441327804792,37.971875553453415,3.148316438509168
3,38.04170403587444,12.395975168519175,2.0625282810429333,22.92582361671751,2.2430753854627827
4,43.08426395939086,16.940076948919366,4.5004714708894955,50.38607956106509,2.850594956973012
5,42.735498839907194,20.298160942492082,2.022959331814403,12.604926324558498,3.2581123299457273
6,42.92703232125367,53.190972247853345,3.3559094421263778,42.72682841582899,3.131463088379307
7,39.98256080770996,39.101504143202206,4.804832121225726,41.299523683542276,2.8872680930096757
8,42.500452079566,14.979702687281428,4.460963859782,11.596610169418089,2.4425390365288355
9,36.12012142237641,26.9611973982321,3.040394934578734,37.85628568588808,4.2419716437007855
10,44.08232931726908,58.10450494169196,2.30599052042637,44.1581176075975,4.561677900313402
11,42.04139145750771,10.760261235380627,4.6662086997364725,10.444042458114774,2.2753776331608733
12,37.651015801354404,25.617120148163032,2.8683909228636053,42.30036502398629,4.808972488238713
13,39.27068345323741,41.220520244254786,2.962498778864625,24.73312953440196,2.8496715914749746
14,42.69736211031175,55.060995370714586,3.546326346535334,26.015125067355896,3.7752922103743263
15,41.635971223021585,35.015735462323605,3.690501287397945,55.20775241348506,2.9960443737510842
16,44.19477911646587,55.18274964820736,4.830022423486147,44.273486080506785,2.8888689413020128
17,37.20156046814044,34.98616891936298,2.3550377781563427,37.33595112290699,3.898841253431292
18,44.14437152953054,52.30422989262545,2.0786159290528072,53.6806625349644,3.857689373144731
19,42.86070893659511,17.428213450265236,4.8283848579511695,47.23341462391434,4.7199897392338
20,37.30895716140199,38.2020962734413,4.382433573934598,31.882465810624076,2.830320797287733
21,51.57225769007545,10.450577442420851,3.813158038483344,45.33134496042998,2.430385115455983
22,48.90711252653928,49.90240652366171,2.885334177122912,17.81027300251356,4.794611901327702
23,41.930455635491604,40.91783548927946,4.574387874341571,49.58404096431229,2.5889878906926853
24,41.16557952834922,19.783771681970105,3.6257365347148913,59.33053464374876,2.0976625835325278
25,42.774096385542165,22.858071897114176,4.219800630385821,59.094924393849766,4.852232530071082
