Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,76.1845269210664,36,5,14,2,13500,8000
2,85.9645966337783,58,5,15,5,17500,22000
3,54.69521739130435,29,5,55,4,3500,18000
4,48.00549218419941,48,3,56,5,3500,10000
5,70.59610584123814,48,3,20,2,13500,20000
6,56.00958605664488,44,2,30,3,21500,18000
7,69.51219512195122,21,5,60,3,21500,4000
8,42.07154953429297,40,3,43,2,5500,2000
9,69.28571428571429,54,3,23,2,23500,28000
10,67.91338199513382,47,4,23,3,23500,8000
11,46.84261603375528,38,4,57,5,1500,28000
12,74.73852501289325,37,5,15,2,13500,6000
13,68.46689386562804,37,3,18,3,21500,12000
14,43.73197625106022,41,4,42,4,1500,12000
15,60.76551418439716,12,3,10,2,1500,20000
16,32.77754326720135,10,2,11,4,17500,8000
17,42.06210392902408,42,2,42,3,13500,18000
18,66.57539492580182,46,3,23,3,11500,14000
19,80.36533187054306,12,4,43,4,11500,22000
20,63.893706293706295,39,4,22,2,9500,6000
21,68.22352367008297,19,4,50,3,1500,20000
22,35.81276415891801,21,2,24,5,19500,28000
23,41.13584426576386,25,4,39,5,23500,18000
24,46.02451394759087,39,4,55,4,3500,18000
25,46.183092608326255,51,5,48,2,1500,22000
26,55.45735749005745,28,3,59,3,1500,6000
27,88.92261547690462,11,3,57,3,5500,12000
28,84.37599544937429,14,4,60,5,15500,10000
29,56.92068361086766,58,5,40,3,5500,6000
30,71.48969578017665,12,4,26,5,1500,6000
31,47.478849407783414,50,5,43,5,11500,4000
32,74.64997418688694,32,2,13,4,11500,18000
33,81.8506711409396,50,2,14,3,13500,20000
34,64.12149976269578,22,4,55,3,21500,26000
35,70.94265941670785,31,2,15,5,5500,18000
36,59.745755138516536,20,5,39,3,3500,22000
37,56.33998265394623,40,3,28,2,3500,28000
38,85.24265129682998,12,5,51,4,3500,24000
39,84.19534355479841,10,2,40,3,5500,24000
40,87.51568975725282,10,2,50,2,17500,18000
41,87.6808383233533,51,2,11,4,9500,18000
42,55.09126297577855,25,3,48,3,3500,20000
43,60.34707748074309,21,2,44,5,17500,14000
44,61.88458110516934,28,4,21,5,9500,10000
45,73.23666494044537,17,3,57,2,1500,2000
46,42.96828752642706,43,2,45,3,13500,2000
47,38.067567567567565,32,3,32,2,9500,10000
48,47.70886075949367,54,3,59,2,11500,18000
49,68.94203604481247,18,5,45,5,19500,28000
50,65.56746411483253,19,3,50,2,13500,8000
51,72.16228513650152,17,3,48,5,5500,6000
52,64.85530546623794,28,4,19,5,7500,8000
53,34.24905023216547,15,2,20,5,5500,28000
54,59.80549498473616,14,4,14,5,11500,28000
55,55.883020515058924,56,2,38,4,17500,26000
56,40.13245873889124,30,4,37,3,23500,10000
57,62.58896551724138,54,5,33,5,23500,28000
58,68.09734093067426,24,2,14,5,9500,28000
59,70.90849342770476,16,2,51,2,5500,24000
60,47.12033898305085,47,4,51,5,15500,6000
61,72.3594470046083,51,4,20,2,5500,12000
62,86.4861845972957,59,5,14,2,7500,20000
63,69.72932330827068,60,2,25,4,15500,2000
64,38.486486486486484,24,5,35,2,9500,26000
65,63.34556432884347,53,4,30,4,11500,14000
66,60.67910112359551,21,5,40,5,13500,6000
67,36.37716701902748,20,2,32,3,15500,28000
68,44.09148665819568,43,2,48,4,17500,28000
69,57.18960107575079,26,2,57,3,17500,4000
70,65.91798561151079,18,3,48,2,11500,24000
71,49.64357682619647,59,3,57,4,17500,10000
72,58.14993365767359,55,4,37,4,21500,10000
73,45.308245243128965,41,5,44,5,15500,28000
74,45.81606765327695,47,2,56,3,7500,4000
75,62.76516187870497,15,4,28,3,1500,2000
76,68.70896619304263,17,2,44,5,17500,16000
77,86.06111757857974,13,5,58,4,23500,8000
78,69.96481665014866,44,5,20,2,13500,14000
79,59.92028660994178,17,2,34,3,5500,28000
80,78.77735644637053,13,2,48,2,1500,28000
81,70.70756134201302,14,3,40,2,17500,22000
82,43.925753075943994,45,3,46,3,17500,8000
83,74.71084337349397,56,2,21,5,21500,18000
84,35.18343195266272,17,5,22,3,9500,24000
85,46.54337706305544,44,3,53,5,11500,26000
86,46.378389830508475,49,4,39,4,15500,8000
87,72.98668032786885,55,5,23,5,1500,16000
88,63.81267474370922,58,5,33,4,11500,10000
89,33.625,18,3,19,3,13500,22000
90,76.15669666490207,12,3,40,2,11500,26000
91,68.69190476190477,10,4,18,3,19500,20000
92,55.24388111888112,28,4,53,5,3500,18000
93,42.86421319796954,37,5,33,5,15500,26000
94,59.425636444841444,46,3,29,3,11500,10000
95,71.64314115308152,29,5,14,2,21500,16000
96,42.40304826418289,31,5,28,5,7500,20000
97,41.12167300380228,37,4,36,3,3500,6000
98,59.00848214285714,51,4,32,2,5500,22000
99,35.31825866441251,17,3,21,5,11500,20000
100,45.72318779143705,58,2,45,2,15500,28000
101,80.84752365052866,45,2,13,2,9500,20000
102,56.06266205704408,15,2,24,4,19500,16000
103,44.37076271186441,48,4,43,2,17500,8000
104,68.34364427259545,38,4,20,5,23500,12000
105,78.324352879028,22,5,10,4,5500,20000
106,55.572916666666664,60,5,42,2,7500,4000
107,43.25010579771477,50,2,38,2,13500,24000
108,89.11515513126491,10,4,48,2,17500,10000
109,67.1933853927423,11,5,15,5,9500,6000
110,45.812100553898595,22,2,38,5,1500,28000
111,59.33363188535602,51,3,32,3,11500,4000
112,62.90934449093445,57,3,31,3,19500,6000
113,48.52340784479123,59,4,51,3,9500,4000
114,41.688455008488965,16,3,24,5,1500,12000
