Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,43.98994974874372,42,7,61,6,90,110
2,40.49315068493151,52,5,34,4,630,1150
3,43.28286683630195,39,5,38,4,1380,1880
4,44.98932384341637,34,6,44,4,240,1240
5,55.16219723183391,45,5,35,4,1270,1650
6,51.01232583065381,56,6,58,7,1480,670
7,55.36257833482543,66,7,57,4,1000,130
8,47.53874313605857,51,5,70,4,1440,460
9,43.497220015885624,48,5,50,4,460,820
10,54.22059651097355,36,4,68,5,660,1290
11,38.38255547054323,39,5,33,4,140,1200
12,40.99096385542169,70,7,36,3,520,1590
13,49.2674791533034,56,3,58,6,1490,380
14,44.16925948973242,39,6,47,6,1330,430
15,52.64551724137931,43,4,68,6,20,750
16,42.679806362378976,31,5,40,4,270,1370
17,37.30434782608695,44,3,38,6,280,550
18,52.90592515592515,56,6,65,7,770,1410
19,41.76962962962963,70,5,40,7,480,900
20,46.20078226857888,46,5,53,7,1430,410
21,51.334310850439884,31,7,50,4,520,1970
22,53.307575757575755,50,7,41,7,1120,900
23,52.768441621885685,43,6,66,7,930,1600
24,40.4013634426928,32,5,34,3,1280,1780
25,39.63125,39,3,57,5,60,100
26,54.27972465581978,62,7,48,6,1090,530
27,48.4777031154551,41,7,55,5,480,1220
28,40.372040586245774,47,7,32,4,560,400
29,64.96148359486448,60,3,31,5,1160,1530
30,42.2,53,5,66,5,220,150
31,51.08137931034483,55,7,69,6,540,910
32,65.76540850453894,69,6,37,6,1140,1310
33,37.198412698412696,60,3,65,7,130,20
34,44.63093489965737,33,5,48,7,1080,1010
35,43.33651685393259,32,3,45,5,620,1510
36,49.598333333333336,56,7,36,4,890,340
37,57.17885117493473,46,3,34,6,1450,1510
38,49.87604562737643,65,7,58,7,110,1990
39,41.72254672897196,38,3,38,7,1040,680
40,44.8216723549488,33,7,35,7,1230,1240
41,51.40834386852086,54,6,49,7,1320,1560
42,52.64020618556701,53,6,69,4,60,930
43,47.259023354564754,51,3,54,4,1250,1460
44,59.24380351509689,64,5,42,6,1460,1260
45,45.67622571692877,39,7,49,4,160,940
46,44.728595411303864,51,5,50,3,630,1740
47,42.85548738922972,32,7,67,3,870,650
48,42.89633286318759,31,7,36,6,250,1220
49,69.96852957135106,54,7,32,7,1490,900
50,43.235044548154434,32,4,45,5,1400,1300
51,49.98081534772182,34,7,68,3,1140,1010
52,43.34782608695652,36,5,57,4,160,510
53,44.5746658919233,38,6,51,6,1290,580
54,40.700249791840136,69,5,45,6,30,1320
55,73.10153102336825,30,4,63,4,210,1470
56,39.578512396694215,47,5,37,5,150,1100
57,42.38387715930902,33,5,40,5,900,1430
58,55.10279131590607,31,3,62,7,1400,1350
59,41.71271225332721,31,3,47,3,1110,1320
60,39.82608695652174,53,7,32,6,410,1020
61,51.38747346072187,46,7,62,6,730,1210
62,50.9826560951437,58,4,64,7,1410,840
63,47.4910941475827,40,6,49,6,1430,1860
64,43.15641392465427,32,4,46,5,910,1960
65,63.30162162162162,53,7,38,7,1210,820
66,53.34138077085981,70,5,58,4,1440,1670
67,56.889082969432316,60,7,46,7,1220,1390
68,51.245683930942896,47,5,62,5,300,1920
69,38.96035242290749,38,6,45,7,290,170
70,47.0359477124183,42,6,69,6,830,740
71,50.44002181025082,64,5,64,5,950,950
72,52.221634615384616,64,7,59,7,890,1660
73,39.53620146904512,39,5,57,4,590,390
74,61.40367597004765,36,4,70,7,400,1290
75,57.10480123902943,43,3,31,7,1150,880
76,43.79030662710188,41,6,45,3,900,1260
77,51.368310155920774,67,3,57,4,1270,1500
78,41.474074074074075,48,7,35,5,590,760
79,47.243153918791315,42,5,59,3,930,1430
80,42.067271352985635,65,4,50,3,150,1510
81,40.03740157480315,46,6,47,4,90,460
82,50.964460239893384,45,6,65,5,1120,1390
83,50.32421052631579,65,4,54,3,1300,1280
84,46.545660805445266,60,4,55,5,600,1510
85,43.68289473684211,42,7,65,4,1450,350
86,42.91570881226053,53,7,35,4,680,890
87,38.42791551882461,44,5,35,5,120,970
88,46.3455334987593,43,5,69,7,1060,590
89,41.87047994740303,31,7,58,3,870,670
90,71.07728894173603,57,7,33,3,1160,720
91,44.899125064333504,55,7,33,7,800,1870
92,51.93293718166384,60,3,62,7,1180,1340
93,48.2474293059126,36,6,54,4,380,1680
94,48.45729537366548,64,7,32,7,480,130
95,39.75373993095512,52,3,44,6,20,860
96,49.65714285714286,57,5,51,7,1000,890
97,51.8171368861024,62,7,61,3,1490,700
98,47.6349001931745,50,6,69,5,1310,370
99,45.609176340519625,68,4,44,5,710,1210
100,37.902547065337764,34,7,69,6,890,30
