Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,49.36254980079681,60,5,62,5,610,1300
2,47.93643410852713,35,5,50,6,200,1090
3,48.16255661801711,56,7,46,6,950,1180
4,40.60428762840554,32,3,34,6,1080,1350
5,52.92168674698795,48,3,35,3,1340,1430
6,46.2037962037962,54,5,45,6,850,1480
7,41.55290611028316,36,6,34,7,160,1660
8,59.225589225589225,55,7,70,5,60,1990
9,49.15060240963855,61,5,58,6,930,410
10,46.91718170580964,49,5,37,5,850,30
11,41.75077160493827,41,3,50,4,470,920
12,41.76663254861822,31,7,45,5,400,650
13,35.79611650485437,37,4,32,3,290,740
14,40.11746031746032,40,6,40,7,170,460
15,51.67891939769708,56,6,57,7,1230,1100
16,69.00050251256282,63,4,30,5,1290,1170
17,46.857360406091374,62,4,36,7,860,1200
18,42.72612513721185,33,6,46,5,880,980
19,46.22167832167832,39,5,68,4,620,870
20,50.30528541226216,56,5,54,5,1460,1510
21,45.8968,40,3,50,3,80,1820
22,41.449438202247194,57,3,47,7,60,130
23,41.679661016949154,30,5,33,6,1310,1600
24,43.082905982905984,40,6,43,7,910,320
25,43.72566371681416,42,5,65,7,1450,80
26,53.725916453537934,63,6,50,5,1420,1810
27,50.48979591836735,65,6,50,7,930,650
28,47.95017793594306,41,6,60,4,1020,1590
29,38.87591240875913,62,6,38,5,120,1010
30,48.35290889132821,67,7,57,4,620,1990
31,45.4968,48,5,64,6,790,460
32,43.71636363636364,39,4,49,6,1420,750
33,43.6484375,52,7,51,4,720,810
34,48.84036340038936,69,6,64,5,510,1070
35,36.597295266716756,30,3,53,4,1340,180
36,42.99585921325052,38,7,41,6,610,900
37,42.28989037758831,54,7,30,6,470,390
38,44.73987341772152,54,3,55,4,550,1060
39,39.156716417910445,34,4,38,7,20,520
40,41.056231003039514,52,7,41,3,160,1580
41,49.205244578920826,57,3,65,5,790,1330
42,52.2733843537415,50,4,66,7,1280,1560
43,47.9317738791423,51,3,52,7,1170,410
44,42.81965006729475,39,4,44,5,380,1210
45,81.62085635359117,65,5,31,6,1280,610
46,60.25614194722475,70,7,44,5,1170,1990
47,53.56853672643146,65,3,48,3,1360,580
48,81.51006245662734,63,6,31,7,1190,620
49,47.15654791771199,51,7,52,4,860,1950
