Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,77.9891774891775,66,6,22,4,1910,1410
2,60.86895748398369,55,4,41,7,1510,610
3,41.856080722251725,61,3,33,5,710,7210
4,54.051359516616316,61,7,61,7,5310,810
5,69.836211149482,21,7,54,6,3210,7010
6,52.851991614255766,62,7,55,5,1310,5510
7,49.6325,51,2,61,7,3010,3210
8,60.08520179372197,25,5,48,7,5910,6510
9,55.17669491525424,62,6,69,5,6810,4610
10,44.81587837837838,36,6,39,6,6610,8510
11,56.45611015490534,59,7,47,7,7610,2010
12,51.1551724137931,70,3,57,2,6910,11110
13,48.994137353433835,48,3,64,5,3510,10910
14,50.88456712672522,61,2,50,6,7810,5710
15,74.47130523108177,46,7,22,7,4610,7810
16,55.78745644599303,56,3,38,3,1610,10510
17,43.50503355704698,43,3,48,2,10,2710
18,43.327181208053695,44,6,47,2,610,8210
19,67.11116481391977,68,3,34,7,2210,3610
20,34.43824940047961,30,4,21,5,510,2710
21,40.36447811447812,32,5,43,7,610,610
22,60.80745062836625,43,3,29,6,4110,3510
23,37.776838546069314,23,7,26,2,7910,5710
24,72.38141188420518,54,2,23,7,5610,9210
25,60.2904972919744,24,3,21,6,3210,910
26,48.13010842368641,38,2,62,7,6810,7510
27,46.826215644820294,50,3,50,5,1810,4210
28,41.893058161350844,34,5,41,3,410,4810
29,55.17194183062446,69,7,57,5,5810,2610
30,44.15131022823331,34,2,53,5,1510,3210
31,52.126284246575345,31,4,58,3,2510,9410
32,47.401744910677195,39,5,64,2,4910,2710
33,50.75564853556485,61,2,56,7,7310,10910
34,63.45971122496507,26,7,57,6,4010,5710
35,64.61054104477611,47,2,27,7,3010,5310
36,51.53621560920831,52,3,66,7,610,9810
37,61.36556710347944,46,5,29,3,6610,11810
38,40.85980516730199,36,2,44,2,1310,10610
39,53.62633604104318,28,4,47,7,1810,11810
40,66.84321550741163,27,4,63,6,810,5010
41,34.70206489675516,23,2,22,3,2210,3110
42,69.78965183752418,36,5,21,7,3110,9610
43,46.75446213217559,46,3,53,7,910,2510
44,74.39717425431711,61,2,23,7,6510,11310
45,52.582251988279616,60,6,52,6,3610,7010
46,44.6285472257518,52,2,40,3,3910,6810
47,45.64606265876376,32,7,43,6,5910,9910
48,46.85253456221198,49,2,65,2,4610,7210
49,46.529705719044976,64,6,54,2,610,6210
50,39.20134228187919,28,5,28,7,310,10910
