Simulation,Tiempo promedio,Autos r_0,Autos r_1,Autos r_2
1,45.72317880794702,1,1,26000
2,46.038563829787236,1,1,10000
3,45.7761492338441,1,1,6000
4,45.84024064171123,1,1,18000
5,45.900859220092535,1,1,10000
6,45.93758300132802,1,1,16000
7,46.08389261744966,1,1,10000
8,45.96404793608522,1,1,12000
9,45.885103540414164,1,1,16000
10,45.913448735019976,1,1,22000
11,46.06807666886979,1,1,2000
12,45.852023888520236,1,1,28000
13,45.79294274300932,1,1,12000
14,45.83189368770764,1,1,16000
15,45.99466666666667,1,1,10000
16,45.72757475083056,1,1,6000
17,45.67524752475248,1,1,26000
18,45.723910171730516,1,1,20000
19,45.748010610079575,1,1,6000
20,45.6223544973545,1,1,18000
21,45.92604930046635,1,1,26000
22,46.12040133779264,1,1,6000
23,45.87025948103793,1,1,20000
24,45.86861313868613,1,1,4000
25,45.94824153948242,1,1,6000
26,45.83855903935957,1,1,16000
27,45.90406395736176,1,1,18000
28,45.82282680822827,1,1,6000
29,45.91373589913736,1,1,28000
30,46.032128514056225,1,1,14000
31,46.03858948769128,1,1,2000
32,45.81552753815527,1,1,12000
33,45.72636484687084,1,1,4000
34,45.76307081403044,1,1,12000
35,45.718356527501655,1,1,16000
36,45.90558510638298,1,1,18000
37,45.70623342175066,1,1,20000
38,45.66821499668215,1,1,20000
39,45.947686116700204,1,1,6000
40,46.026017344896594,1,1,2000
41,45.88356620093147,1,1,22000
42,46.21352074966533,1,1,2000
43,45.7564698075647,1,1,10000
44,45.7553050397878,1,1,16000
45,46.070093457943926,1,1,24000
46,45.73973509933775,1,1,20000
47,45.77209302325581,1,1,20000
48,45.743691899070384,1,1,10000
49,45.60702451954937,1,1,18000
50,45.783100465735195,1,1,2000
51,45.77269715043075,1,1,24000
52,45.99802241265656,1,1,28000
53,45.61401189689359,1,1,8000
54,46.05562913907285,1,1,26000
55,45.964666666666666,1,1,8000
56,45.80863787375415,1,1,8000
57,45.99467731204258,1,1,18000
58,45.72166998011929,1,1,26000
59,45.8797342192691,1,1,8000
60,45.7990746860542,1,1,4000
61,45.95938748335553,1,1,2000
62,45.892809587217045,1,1,10000
63,45.759602649006624,1,1,14000
64,45.81395348837209,1,1,22000
65,45.73589913735899,1,1,20000
66,46.01194426011944,1,1,2000
67,45.75166444740346,1,1,14000
68,45.932628797886395,1,1,8000
69,45.8939292861908,1,1,14000
70,45.88659106070714,1,1,4000
71,45.766311584553925,1,1,8000
72,45.76013289036545,1,1,16000
73,45.919547872340424,1,1,8000
74,45.810721376571806,1,1,18000
75,45.92256341789052,1,1,16000
76,46.117607973421926,1,1,26000
77,45.86613651424785,1,1,28000
78,46.049136786188576,1,1,18000
79,46.178618857901725,1,1,28000
80,45.87491683300067,1,1,8000
81,45.845593108018555,1,1,2000
82,45.723544973544975,1,1,24000
83,45.63129973474801,1,1,24000
84,45.86149768058317,1,1,8000
85,46.046854082998664,1,1,18000
86,45.70976253298153,1,1,10000
87,46.0,1,1,10000
88,45.62894736842105,1,1,4000
89,45.76482345103265,1,1,8000
90,45.97270306258322,1,1,12000
91,45.94492368944924,1,1,18000
92,46.007952286282304,1,1,22000
93,45.93621262458472,1,1,4000
94,45.94488711819389,1,1,18000
95,45.766155896069286,1,1,8000
96,46.045424181696724,1,1,24000
97,46.1122244488978,1,1,8000
98,45.84447385837194,1,1,2000
99,45.856095936042635,1,1,28000
100,45.94655978623914,1,1,6000
