Simulation,Tiempo promedio,Autos r_0,Autos r_1,Autos r_2
1,45.837458193979934,1,1,14000
2,45.85761809713905,1,1,6000
3,45.78139534883721,1,1,22000
4,45.58800263678312,1,1,22000
5,45.778220451527226,1,1,12000
6,45.97556142668428,1,1,26000
7,45.67330677290837,1,1,16000
8,45.835880398671094,1,1,28000
9,45.87790311877903,1,1,26000
10,45.64950495049505,1,1,22000
11,45.99734395750332,1,1,24000
12,45.93023255813954,1,1,20000
13,45.77910844976713,1,1,22000
14,45.50693069306931,1,1,22000
15,45.79324055666004,1,1,20000
16,45.736074270557026,1,1,22000
17,45.65260382333553,1,1,16000
18,45.742363877822044,1,1,26000
19,45.707671957671955,1,1,22000
20,45.801582069874755,1,1,26000
