Simulation,Tiempo promedio,Autos r_0,Autos r_1,Autos r_2
1,45.948972829688536,1,1,12000
2,45.75149105367793,1,1,18000
3,45.80621693121693,1,1,26000
4,46.075283144570285,1,1,26000
5,46.13603185136032,1,1,2000
6,45.79147235176549,1,1,10000
7,46.12699468085106,1,1,4000
8,46.031229235880396,1,1,8000
9,45.90915119363395,1,1,26000
10,45.689358889623264,1,1,22000
11,45.81412391738841,1,1,26000
12,45.9601593625498,1,1,28000
13,45.672607260726075,1,1,8000
14,45.69501661129568,1,1,10000
15,45.85477453580902,1,1,26000
16,45.81842279655401,1,1,22000
17,45.72980132450331,1,1,22000
18,45.93413173652694,1,1,8000
19,45.91192052980132,1,1,28000
20,45.89243027888446,1,1,22000
21,46.01264980026631,1,1,14000
22,45.66798941798942,1,1,10000
23,45.86046511627907,1,1,10000
24,45.97338656021291,1,1,2000
25,45.866844207723034,1,1,8000
